t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784662866.442832,0.2000,58.9764,2.409411e+11,9.654188e+11,9.654188e+11,0,68,17
1784662866.642832,0.2000,59.2136,2.409393e+11,1.235203e+12,1.234077e+12,20,67,17
1784662866.842832,0.2000,59.3314,2.409613e+11,9.655601e+11,9.655601e+11,0,68,17
1784662867.042832,0.2000,58.6302,2.409210e+11,1.234800e+12,1.233948e+12,20,67,17
1784662867.242832,0.2000,58.9371,2.408393e+11,9.647059e+11,9.647059e+11,0,68,17
1784662867.442832,0.2000,58.8616,2.409054e+11,9.651683e+11,9.651683e+11,0,68,17
1784662867.642832,0.2000,59.1968,2.409118e+11,1.575508e+12,1.573258e+12,44,67,17
1784662867.842832,0.2000,58.4196,2.409402e+11,9.654124e+11,9.654124e+11,0,68,17
1784662868.042832,0.2000,59.0093,2.410063e+11,9.658748e+11,9.658748e+11,0,68,17
1784662868.242832,0.2000,58.8396,2.410723e+11,9.663372e+11,9.663372e+11,0,68,17
1784662868.442832,0.2000,58.2806,2.408586e+11,1.404744e+12,1.403199e+12,32,67,17
1784662868.642832,0.2000,58.8324,2.409283e+11,9.653289e+11,9.653289e+11,0,68,17
1784662868.842833,0.2000,58.8821,1.417544e+11,5.680634e+11,5.680634e+11,0,40,10
1784662869.042832,0.2000,58.9691,3.403032e+11,1.364001e+12,1.364001e+12,0,96,24
1784662869.242833,0.2000,58.9704,2.409944e+11,1.278325e+12,1.276884e+12,23,67,17
1784662869.442832,0.2000,59.3998,2.409072e+11,1.178067e+12,1.177290e+12,16,67,17
1784662869.642833,0.2000,59.0149,2.407943e+11,1.191166e+12,1.190640e+12,17,67,17
1784662869.842833,0.2000,59.2355,2.407283e+11,9.639288e+11,9.639288e+11,0,68,17
1784662870.042833,0.2000,59.4910,2.407943e+11,9.643912e+11,9.643912e+11,0,68,17
1784662870.242833,0.2000,59.1320,2.408604e+11,9.648536e+11,9.648536e+11,0,68,17
1784662870.442833,0.2000,58.7696,2.409265e+11,9.653161e+11,9.653161e+11,0,68,17
1784662870.642833,0.2000,58.8344,2.409925e+11,9.657785e+11,9.657785e+11,0,68,17
1784662870.842833,0.2000,59.0124,2.410586e+11,9.662409e+11,9.662409e+11,0,68,17
1784662871.042833,0.2000,59.1628,2.411155e+11,9.667204e+11,9.666391e+11,0,68,17
1784662871.242833,0.2000,58.9749,2.410595e+11,1.378251e+12,1.376324e+12,30,67,17
1784662871.442833,0.2000,59.2913,2.408898e+11,1.163807e+12,1.163027e+12,15,67,17
1784662871.642833,0.2000,59.4576,2.409265e+11,9.653161e+11,9.653161e+11,0,68,17
1784662871.842833,0.2000,58.7739,2.409687e+11,9.515266e+11,9.514709e+11,0,67,17
1784662872.042833,0.2000,60.0227,2.409081e+11,1.717361e+12,1.714638e+12,53,68,17
1784662872.242833,0.2000,59.1952,2.407778e+11,1.219487e+12,1.218806e+12,19,67,17
1784662872.442833,0.2000,59.6018,2.407852e+11,9.643270e+11,9.643270e+11,0,68,17
1784662872.642833,0.2000,59.0002,2.408521e+11,9.647958e+11,9.647958e+11,0,68,17
1784662872.842834,0.2000,59.1482,2.407494e+11,1.616228e+12,1.614543e+12,49,65,17
1784662873.042833,0.2000,58.6975,2.406650e+11,9.634856e+11,9.634856e+11,0,68,17
1784662873.242834,0.2000,59.7320,2.407044e+11,1.176369e+12,1.175870e+12,16,67,17
1784662873.442833,0.2000,59.2388,2.407705e+11,9.642242e+11,9.642242e+11,0,68,17
1784662873.642834,0.2000,59.5148,2.408365e+11,9.646866e+11,9.646866e+11,0,68,17
1784662873.842834,0.2000,59.1916,2.408622e+11,1.220337e+12,1.219397e+12,19,67,17
1784662874.042834,0.2000,58.9648,2.408907e+11,9.650656e+11,9.650656e+11,0,68,17
1784662874.242834,0.2000,59.7212,2.409567e+11,9.655280e+11,9.655280e+11,0,68,17
1784662874.442834,0.2000,59.1613,2.408567e+11,1.801770e+12,1.799122e+12,60,67,17
1784662874.642834,0.2000,58.7055,2.408824e+11,9.650078e+11,9.650078e+11,0,68,17
1784662874.842834,0.2000,59.3733,2.408549e+11,1.574889e+12,1.572860e+12,44,67,17
1784662875.042834,0.2000,58.1861,2.409072e+11,9.651812e+11,9.651812e+11,0,68,17
1784662875.242834,0.2000,59.1621,2.409733e+11,9.656436e+11,9.656436e+11,0,68,17
1784662875.442834,0.2000,59.4829,2.410393e+11,9.661060e+11,9.661060e+11,0,68,17
1784662875.642834,0.2000,59.8675,2.411063e+11,9.665749e+11,9.665749e+11,0,68,17
1784662875.842834,0.2000,59.1137,2.409916e+11,1.505437e+12,1.503114e+12,39,67,17
1784662876.042834,0.2000,58.4159,2.409833e+11,1.278287e+12,1.276807e+12,23,67,17
1784662876.242834,0.2000,58.2361,2.410457e+11,9.661510e+11,9.661510e+11,0,68,17
1784662876.442834,0.2000,59.3377,2.410155e+11,1.576755e+12,1.573984e+12,45,66,17
1784662876.642834,0.2000,59.9487,2.410054e+11,9.658684e+11,9.658684e+11,0,68,17
1784662876.842834,0.2000,59.9892,2.409797e+11,1.192785e+12,1.191938e+12,17,67,17
1784662877.042834,0.2000,59.9089,2.407971e+11,1.177211e+12,1.176519e+12,16,67,17
1784662877.242835,0.2000,59.0487,2.408659e+11,9.648922e+11,9.648922e+11,0,68,17
1784662877.442834,0.2000,59.3185,2.407420e+11,1.261572e+12,1.260977e+12,22,67,17
1784662877.642835,0.2000,60.3874,2.548725e+11,1.020517e+12,1.020517e+12,0,72,18
1784662877.842834,0.2000,59.6668,2.407815e+11,9.643013e+11,9.643013e+11,0,68,17
