t,energy_mj,p_inst_w,p_avg_w,sm_mhz,mem_mhz,temp_c,reasons,on
1790294566.876473,27263028311.0,124.897,102.137,210,7601,44,4,1
1790294566.8864722,27263028311.0,124.897,102.137,210,7601,44,4,1
1790294566.8964868,27263028311.0,124.897,102.137,210,7601,44,4,1
1790294566.9064813,27263031030.0,124.897,102.137,210,7601,44,4,1
1790294566.9261672,27263031030.0,124.897,102.137,210,7601,44,4,1
1790294566.9362257,27263031030.0,124.897,102.137,210,7601,44,4,1
1790294566.9469984,27263031030.0,124.897,102.137,1020,7601,44,4,1
1790294566.9570713,27263031030.0,124.897,102.137,1020,7601,44,4,1
1790294566.9670622,27263031030.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294566.9813607,27263031030.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294566.9914112,27263031030.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.0014255,27263031030.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.011433,27263033968.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.0251222,27263033968.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.0351937,27263033968.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.0461233,27263033968.0,117.85900000000001,102.23700000000001,1020,7601,44,4,1
1790294567.0561953,27263033968.0,117.85900000000001,102.23700000000001,210,7601,44,4,1
1790294567.0661879,27263033968.0,117.85900000000001,102.23700000000001,210,7601,44,4,1
1790294567.0794847,27263033968.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.0895565,27263033968.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.1024966,27263033968.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.112568,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.122567,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.1346781,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.1458476,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.1559155,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.1659122,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.176436,27263036180.0,117.135,102.24300000000001,210,7601,44,4,1
1790294567.186493,27263036180.0,126.031,103.157,210,7601,44,4,1
1790294567.1965075,27263036180.0,126.031,103.157,210,7601,44,4,0
1790294567.206498,27263038457.0,126.031,103.157,210,7601,44,4,0
1790294567.2165082,27263038457.0,126.031,103.157,210,7601,43,4,0
1790294567.2265012,27263038457.0,126.031,103.157,210,7601,43,4,0
1790294567.2365074,27263038457.0,126.031,103.157,210,7601,43,4,0
1790294567.2464986,27263038457.0,126.031,103.157,210,7601,43,4,0
1790294567.2565079,27263038457.0,126.031,103.157,210,7601,43,4,0
1790294567.2665017,27263038457.0,126.031,103.157,1530,7601,43,4,0
1790294567.2765079,27263038457.0,126.031,103.157,1530,7601,43,4,0
1790294567.286501,27263038457.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.2965074,27263038457.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3065028,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3165066,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
