gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
H200,gemma-7b,sharegpt,4,,1965672564302.117,0.409515117562941,1.1206885940513351e-10,438.9085598470714,338.6826925711839,118.367,381553300851.06384,logs/ragged/gemma-7b/sharegpt_c4
H200,gemma-7b,sharegpt,64,,1835304271412.8875,0.38235505654435153,2.2615013277938176e-10,4393.450703306368,533.3973238553209,118.367,244468536458.33334,logs/ragged/gemma-7b/sharegpt_c64
H200,gemma-7b,sharegpt,,8.0,1930864175121.506,0.40226336981698047,1.492674723628972e-10,1610.0755430828779,406.7966146010187,118.367,339210406286.91986,logs/ragged/gemma-7b/sharegpt_poisson8
H200,Qwen2.5-0.5B-Instruct,alpaca,1,,223097583705.49802,0.046478663271978755,1.2632240426808244e-10,224.48959692876346,144.53124392935982,116.34700000000001,44348184758.77193,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/alpaca_c1
H200,Qwen2.5-0.5B-Instruct,alpaca,16,,222052259254.52628,0.046260887344692976,1.5155973966222423e-10,3431.6671926248364,149.99976964828485,116.34700000000001,43075129437.22944,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/alpaca_c16
H200,Qwen2.5-0.5B-Instruct,alpaca,4,,220638223265.30167,0.04596629651360452,1.3047148666121396e-10,869.9006665840585,145.13382059655999,116.34700000000001,43661040216.45022,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/alpaca_c4
H200,Qwen2.5-0.5B-Instruct,alpaca,64,,211945539132.63126,0.04415532065263151,2.3597905508129094e-10,11984.174812282909,166.37308925476603,116.34700000000001,37732673879.31035,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/alpaca_c64
H200,Qwen2.5-0.5B-Instruct,alpaca,,8.0,218988232404.95108,0.04562254841769814,1.406507789084029e-10,1797.9353180833025,147.142189501198,116.34700000000001,42955380714.28571,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/alpaca_poisson8
H200,Qwen2.5-0.5B-Instruct,sharegpt,1,,227379548524.50952,0.04737073927593948,1.2667343519790644e-10,228.51948278808956,145.14877869925797,116.34700000000001,45251140826.08696,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/sharegpt_c1
H200,Qwen2.5-0.5B-Instruct,sharegpt,16,,219687998754.08713,0.04576833307376815,1.6457366010121475e-10,3297.0501753523486,152.5023914838149,116.34700000000001,41291735367.96537,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/sharegpt_c16
H200,Qwen2.5-0.5B-Instruct,sharegpt,4,,217045600587.50827,0.04521783345573089,1.3451668920652525e-10,856.013738451148,145.54787258347977,116.34700000000001,42627342965.065506,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/sharegpt_c4
H200,Qwen2.5-0.5B-Instruct,sharegpt,64,,230651828833.63382,0.04805246434034038,2.5936804059954233e-10,11777.529902827959,176.18543766233765,116.34700000000001,37123739267.24138,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/sharegpt_c64
H200,Qwen2.5-0.5B-Instruct,sharegpt,,8.0,216663531689.47153,0.0451382357686399,1.4982411337857482e-10,1899.2833539962019,148.81936537625054,116.34700000000001,41787835021.64502,logs/ragged_ladder/Qwen2.5-0.5B-Instruct/sharegpt_poisson8
H200,Qwen2.5-1.5B-Instruct,alpaca,1,,614344746435.478,0.12798848884072458,1.1223573661847375e-10,197.74687405069773,184.8710997995099,115.913,122269843141.59293,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/alpaca_c1
H200,Qwen2.5-1.5B-Instruct,alpaca,16,,596098063266.0115,0.12418709651375238,1.3219428164788758e-10,2963.781695070886,194.70941338241664,115.913,116552798275.86208,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/alpaca_c16
H200,Qwen2.5-1.5B-Instruct,alpaca,4,,613514501549.1265,0.127815521156068,1.166215318254613e-10,782.0754940110736,187.4625005488474,115.913,121719569213.9738,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/alpaca_c4
H200,Qwen2.5-1.5B-Instruct,alpaca,64,,570474898508.6206,0.11884893718929596,1.9747514661670177e-10,10666.658553131385,228.64304929729727,115.913,105375245086.2069,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/alpaca_c64
H200,Qwen2.5-1.5B-Instruct,alpaca,,8.0,606023746920.6484,0.1262549472751351,1.2116635658891963e-10,1417.2061439972135,189.3405534591195,115.913,119586715155.17241,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/alpaca_poisson8
H200,Qwen2.5-1.5B-Instruct,sharegpt,1,,603999259598.3687,0.12583317908299346,1.1336187242479327e-10,194.32127454421942,184.38571311111113,115.913,120248164955.75221,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/sharegpt_c1
H200,Qwen2.5-1.5B-Instruct,sharegpt,16,,608295569984.3857,0.12672824374674702,1.4395474746145732e-10,2958.856841332672,203.49795128815762,115.913,115993917155.17241,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/sharegpt_c16
H200,Qwen2.5-1.5B-Instruct,sharegpt,4,,615450061774.2765,0.12821876286964093,1.1904872227409712e-10,775.8965838342291,189.18421762785636,115.913,121374025974.02597,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/sharegpt_c4
H200,Qwen2.5-1.5B-Instruct,sharegpt,64,,602157941920.3042,0.1254495712333967,2.2230003711810564e-10,10359.373807010397,249.81847630331757,115.913,102259824206.00859,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/sharegpt_c64
H200,Qwen2.5-1.5B-Instruct,sharegpt,,8.0,590331551913.8429,0.1229857399820506,1.329810161125466e-10,1823.1494880071673,194.43559956663054,115.913,114543494051.72414,logs/ragged_ladder/Qwen2.5-1.5B-Instruct/sharegpt_poisson8
H200,Qwen2.5-14B-Instruct,alpaca,1,,2791104465919.3193,0.5814800970665248,1.038727417144192e-10,99.19571489809502,406.27690911072364,116.366,557556829130.4348,logs/ragged_ladder/Qwen2.5-14B-Instruct/alpaca_c1
H200,Qwen2.5-14B-Instruct,alpaca,16,,2648054513252.5815,0.5516780235942879,1.2305262563459894e-10,1445.4248454485607,442.23558115514334,116.366,520945071428.5714,logs/ragged_ladder/Qwen2.5-14B-Instruct/alpaca_c16
H200,Qwen2.5-14B-Instruct,alpaca,4,,2680786421988.366,0.5584971712475763,1.0781731808694972e-10,372.1901263117473,405.3922567538822,116.366,533066565254.2373,logs/ragged_ladder/Qwen2.5-14B-Instruct/alpaca_c4
H200,Qwen2.5-14B-Instruct,alpaca,64,,2445833224578.9946,0.5095485884539572,1.80890300636695e-10,5060.197446189305,558.7752539649416,116.366,458192996250.0,logs/ragged_ladder/Qwen2.5-14B-Instruct/alpaca_c64
H200,Qwen2.5-14B-Instruct,alpaca,,8.0,2660784428117.9775,0.5543300891912453,1.2566076893236287e-10,1524.651239991592,450.7606533192834,116.366,522826163445.3782,logs/ragged_ladder/Qwen2.5-14B-Instruct/alpaca_poisson8
H200,Qwen2.5-14B-Instruct,sharegpt,1,,2734517437920.635,0.5696911329001323,1.0478964290146464e-10,97.2360772636735,402.9080213666173,116.366,545929556118.14343,logs/ragged_ladder/Qwen2.5-14B-Instruct/sharegpt_c1
H200,Qwen2.5-14B-Instruct,sharegpt,16,,2556248074913.437,0.5325516822736327,1.3085685344016812e-10,1373.2055659134269,450.8108901052632,116.366,493945182845.1883,logs/ragged_ladder/Qwen2.5-14B-Instruct/sharegpt_c16
H200,Qwen2.5-14B-Instruct,sharegpt,4,,2682034486330.745,0.5587571846522386,1.1017138273151944e-10,373.3842930887446,411.866576513214,116.366,530221007838.98303,logs/ragged_ladder/Qwen2.5-14B-Instruct/sharegpt_c4
H200,Qwen2.5-14B-Instruct,sharegpt,64,,2226400064672.1074,0.46383334680668903,2.094454339654975e-10,4326.362976886834,582.6663055497818,116.366,388834903941.9087,logs/ragged_ladder/Qwen2.5-14B-Instruct/sharegpt_c64
H200,Qwen2.5-14B-Instruct,sharegpt,,8.0,2509417931596.1665,0.522795402415868,1.4412969660233168e-10,1822.3397970375718,478.0850159899011,116.366,478256950000.0,logs/ragged_ladder/Qwen2.5-14B-Instruct/sharegpt_poisson8
H200,Qwen2.5-32B-Instruct,alpaca,1,,3216217910030.943,0.6700453979231131,1.0465328472202568e-10,49.9743847217797,452.9341479342514,116.345,640249892831.8584,logs/ragged_ladder/Qwen2.5-32B-Instruct/alpaca_c1
H200,Qwen2.5-32B-Instruct,alpaca,16,,3126338669303.1343,0.6513205561048196,1.2098046863732022e-10,738.4605339801033,494.56704559088183,116.345,618785757370.518,logs/ragged_ladder/Qwen2.5-32B-Instruct/alpaca_c16
H200,Qwen2.5-32B-Instruct,alpaca,4,,3173376914436.882,0.6611201905076837,1.0722059677973592e-10,189.13336602258033,456.5876487148103,116.345,632662878048.7805,logs/ragged_ladder/Qwen2.5-32B-Instruct/alpaca_c4
H200,Qwen2.5-32B-Instruct,alpaca,64,,2948707953393.6973,0.6143141569570203,1.7558607859895446e-10,2665.7969159646896,634.0836751933373,116.345,567371697628.4585,logs/ragged_ladder/Qwen2.5-32B-Instruct/alpaca_c64
H200,Qwen2.5-32B-Instruct,alpaca,,8.0,3060560640142.563,0.6376168000297007,1.392392077957123e-10,1301.3355779355604,542.5341312587274,116.345,600338157539.6825,logs/ragged_ladder/Qwen2.5-32B-Instruct/alpaca_poisson8
H200,Qwen2.5-32B-Instruct,sharegpt,1,,3208512784287.896,0.6684401633933117,1.047179026273731e-10,49.92464050785054,452.32328338493295,116.345,640736778189.3004,logs/ragged_ladder/Qwen2.5-32B-Instruct/sharegpt_c1
H200,Qwen2.5-32B-Instruct,sharegpt,16,,3016804994144.6196,0.6285010404467958,1.3019466124155909e-10,717.2384450437177,509.1473675794523,116.345,591771221593.6255,logs/ragged_ladder/Qwen2.5-32B-Instruct/sharegpt_c16
H200,Qwen2.5-32B-Instruct,sharegpt,4,,3136034048233.089,0.6533404267152269,1.0973128161434039e-10,190.3018488991063,460.4706857974631,116.345,622237874793.3884,logs/ragged_ladder/Qwen2.5-32B-Instruct/sharegpt_c4
H200,Qwen2.5-32B-Instruct,sharegpt,64,,2613551328124.349,0.544489860025906,2.0119568327993677e-10,2227.9165006981825,642.5840078879905,116.345,482417646245.05927,logs/ragged_ladder/Qwen2.5-32B-Instruct/sharegpt_c64
